[20260820_16:43:40_964]#1980356 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000003,3,1,21,1,1976072,1980356,4284
[20260820_16:43:41_430]#1980414 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:41_430]#1980416 | info | nwk.c (349)| aps tx retry_cnt 0 dst 004f link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:41_441]#1980766 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000004,3,1,22,1,1976482,1980766,4284
[20260820_16:43:41_779]#1980831 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000005,3,1,23,1,1976539,1980831,4292
[20260820_16:43:42_115]#1980840 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:42_115]#1980841 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0052 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:42_123]#1980870 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000006,3,1,24,1,1976582,1980870,4288
[20260820_16:43:42_465]#1980904 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:42_466]#1980905 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0053 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:42_800]#1980940 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000007,3,1,25,1,1976623,1980940,4317
[20260820_16:43:42_810]#1980950 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:42_811]#1980952 | info | nwk.c (349)| aps tx retry_cnt 0 dst 004e link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:43_146]#1980994 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:43_146]#1980995 | info | nwk.c (349)| aps tx retry_cnt 0 dst 005c link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:43_155]#1981226 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000008,3,1,26,1,1976937,1981226,4289
[20260820_16:43:43_495]#1981286 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:43_495]#1981292 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:43_832]#1981796 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000009,3,1,27,1,1976966,1981796,4830
[20260820_16:43:44_097]#1981855 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:44_097]#1981856 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0076 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:45_171]#1984696 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000011,3,1,29,1,1980413,1984696,4283
[20260820_16:43:45_337]#1984759 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:45_337]#1984760 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0056 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:45_415]#1985139 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000012,3,1,30,1,1980836,1985139,4303
